,subject_id,acc_x,acc_y,acc_z,label,floor
108,0,-0.59448,0.34985,-0.00464,null_class,null_class
109,0,-0.19189,0.23633,0.38281,null_class,null_class
110,0,-2.13843,-0.5896,0.70679,null_class,null_class
111,0,-2.10352,0.95239,1.12891,null_class,null_class
112,0,-0.02832,1.46069,-0.26392,null_class,null_class
113,0,-0.29248,0.33667,0.0,null_class,null_class
114,0,-0.21387,0.9519,0.18066,null_class,null_class
115,0,-1.62134,1.73047,0.45654,null_class,null_class
116,0,-2.229,0.13599,1.77954,null_class,null_class
117,0,-0.98291,-0.66943,0.5083,null_class,null_class
118,0,-0.49634,0.95605,-0.20044,null_class,null_class
119,0,-0.60229,1.35229,0.13501,null_class,null_class
120,0,-0.61279,1.54395,0.35303,null_class,null_class
121,0,-0.59473,1.02271,0.27197,null_class,null_class
122,0,-0.46021,0.72998,0.07324,null_class,null_class
123,0,-0.01611,1.11108,0.27954,null_class,null_class
124,0,0.11621,0.78003,0.25098,null_class,null_class
125,0,0.41455,0.50244,0.23315,null_class,null_class
126,0,0.6499,0.66992,0.26367,null_class,null_class
127,0,0.79907,0.56421,0.18823,null_class,null_class
128,0,0.70679,0.42627,0.25195,null_class,null_class
129,0,0.56763,0.2688,0.24902,null_class,null_class
130,0,0.59009,0.5293,0.22632,null_class,null_class
131,0,0.44409,0.7146,0.08716,null_class,null_class
132,0,-0.03833,1.10986,0.61108,null_class,null_class
133,0,-0.22339,1.49072,0.81274,null_class,null_class
134,0,-0.12207,1.11475,0.3291,null_class,null_class
135,0,-0.00146,0.95874,-0.38159,null_class,null_class
136,0,0.18799,0.93115,-0.3938,null_class,null_class
137,0,0.20825,0.73291,-0.23096,null_class,null_class
138,0,0.16187,1.26904,-0.23657,null_class,null_class
139,0,0.06299,1.42456,-0.1814,null_class,null_class
140,0,-0.24341,1.47632,-0.37402,null_class,null_class
141,0,-0.53857,0.93164,-0.44092,null_class,null_class
142,0,-0.33423,0.43579,-0.42944,null_class,null_class
143,0,-0.32495,0.42529,-0.25513,null_class,null_class
144,0,-0.53125,0.1499,-0.12085,null_class,null_class
145,0,-0.96045,0.53491,-0.05933,null_class,null_class
146,0,-1.5957,0.72559,-0.12402,null_class,null_class
147,0,-1.56616,0.66577,-0.02148,null_class,null_class
148,0,-1.06689,0.57251,-0.10498,null_class,null_class
149,0,-0.80249,0.6272,-0.27734,null_class,null_class
150,0,-0.77002,0.64258,-0.4021,null_class,null_class
151,0,-0.96533,0.73096,-0.65137,null_class,null_class
152,0,-1.40332,0.52173,-0.56421,null_class,null_class
153,0,-1.21826,0.61377,-0.36475,null_class,null_class
154,0,-1.21362,0.60742,-0.13086,null_class,null_class
155,0,-1.08105,0.35327,-0.04419,null_class,null_class
156,0,-0.98999,0.44531,-0.01611,null_class,null_class
157,0,-1.02563,0.11768,-0.02075,null_class,null_class
158,0,-0.85327,0.0,-0.16602,null_class,null_class
159,0,-0.82837,0.03613,-0.29443,null_class,null_class
160,0,-1.00659,0.27222,-0.13843,null_class,null_class
161,0,-0.98633,0.4585,-0.16479,null_class,null_class
162,0,-0.87451,0.67285,-0.38696,null_class,null_class
163,0,-0.99487,0.77759,-0.77832,null_class,null_class
164,0,-0.97949,0.45923,-0.83936,null_class,null_class
165,0,-1.15137,0.63843,-0.48755,null_class,null_class
166,0,-1.21533,0.45386,-0.21606,null_class,null_class
167,0,-1.01831,0.36792,-0.10034,null_class,null_class
168,0,-0.82983,0.354,-0.07104,null_class,null_class
169,0,-0.85181,0.14185,-0.02637,null_class,null_class
170,0,-1.05151,0.23218,-0.02832,null_class,null_class
171,0,-1.16992,0.38208,-0.1875,null_class,null_class
172,0,-0.97095,0.22803,-0.14941,null_class,null_class
173,0,-0.81689,0.38672,-0.08667,null_class,null_class
174,0,-0.77246,0.50757,-0.29785,null_class,null_class
175,0,-1.04395,0.53003,-0.53906,null_class,null_class
176,0,-0.96533,0.5249,-0.75171,null_class,null_class
177,0,-1.05029,0.51318,-0.53223,null_class,null_class
178,0,-1.13965,0.76001,-0.43604,null_class,null_class
179,0,-1.41772,0.48584,-0.17358,null_class,null_class
180,0,-1.11182,0.2644,-0.0144,null_class,null_class
181,0,-0.75952,0.46631,-0.02686,null_class,null_class
182,0,-0.83862,0.23608,0.12036,null_class,null_class
183,0,-0.89331,0.2041,0.12866,null_class,null_class
184,0,-1.16772,0.41675,-0.04077,null_class,null_class
185,0,-0.86426,0.323,-0.22876,null_class,null_class
186,0,-0.97046,0.31543,-0.08545,null_class,null_class
187,0,-0.91064,0.51782,-0.23242,null_class,null_class
188,0,-0.86621,0.56738,-0.50757,null_class,null_class
189,0,-0.91992,0.45532,-0.6543,null_class,null_class
190,0,-0.99976,0.51025,-0.57178,null_class,null_class
191,0,-1.11646,0.698,-0.5459,null_class,null_class
192,0,-1.31885,0.66699,-0.3457,null_class,null_class
193,0,-1.22827,0.50806,-0.09839,null_class,null_class
194,0,-0.95532,0.53687,-0.09375,null_class,null_class
195,0,-0.98267,0.40259,-0.12695,null_class,null_class
196,0,-0.59106,0.4502,-0.29858,null_class,null_class
197,0,-0.47095,0.76978,-0.70215,null_class,null_class
198,0,-0.50342,0.6311,-1.23315,null_class,null_class
199,0,-0.41992,0.50464,-0.9873,null_class,null_class
200,0,-0.20215,0.26563,-0.72437,null_class,null_class
201,0,-0.1582,-0.05493,-0.72437,null_class,null_class
202,0,-0.09741,-0.33643,-0.55005,null_class,null_class
203,0,0.05933,-0.56372,-0.42432,null_class,null_class
204,0,0.31152,-0.03979,-0.88403,null_class,null_class
205,0,0.33325,-0.03027,-1.09058,null_class,null_class
206,0,0.05688,0.42358,-1.37085,null_class,null_class
207,0,-0.06934,0.42871,-1.11914,null_class,null_class
208,0,-0.22314,0.21997,-0.87109,null_class,null_class
209,0,-0.21851,0.2561,-0.83667,null_class,null_class
210,0,-0.28564,0.31201,-0.8042,null_class,null_class
211,0,-0.27661,0.31079,-0.95996,null_class,null_class
212,0,-0.07666,0.17505,-0.95288,null_class,null_class
213,0,-0.30054,0.74683,-0.80664,null_class,null_class
214,0,-0.33862,0.98828,-0.88818,null_class,null_class
215,0,-0.37427,0.74097,-1.02686,null_class,null_class
216,0,-0.50781,0.51758,-1.07495,null_class,null_class
217,0,-0.57935,0.37158,-1.13965,null_class,null_class
218,0,-0.24878,0.24072,-0.97095,null_class,null_class
219,0,0.14038,0.28857,-0.88647,null_class,null_class
220,0,0.03101,0.12939,-0.97266,null_class,null_class
221,0,-0.0647,0.24854,-0.95581,null_class,null_class
222,0,0.17236,0.65283,-0.5188,null_class,null_class
223,0,0.41479,0.61255,-0.25537,null_class,null_class
224,0,0.53735,0.74634,-0.40869,null_class,null_class
225,0,0.60815,0.96509,-0.49731,null_class,null_class
226,0,0.46265,0.83521,-0.46582,null_class,null_class
227,0,0.34717,0.68848,-0.40723,null_class,null_class
228,0,0.43384,0.771,-0.47778,null_class,null_class
229,0,0.49561,0.76733,-0.44531,null_class,null_class
230,0,0.50928,0.75122,-0.42261,null_class,null_class
231,0,0.45898,0.79028,-0.46558,null_class,null_class
232,0,0.56152,0.77026,-0.51221,null_class,null_class
233,0,0.65015,0.74414,-0.53687,null_class,null_class
234,0,0.40723,0.77466,-0.40869,null_class,null_class
235,0,0.3291,0.64771,-0.41797,null_class,null_class
236,0,0.4519,0.70947,-0.46167,null_class,null_class
237,0,0.50952,0.8833,-0.40137,null_class,null_class
238,0,0.46094,0.87354,-0.37744,null_class,null_class
239,0,0.4126,0.8103,-0.41064,null_class,null_class
240,0,0.48999,0.79321,-0.37891,null_class,null_class
241,0,0.48584,0.82568,-0.34717,null_class,null_class
242,0,0.48853,0.77588,-0.38428,null_class,null_class
243,0,0.50171,0.77881,-0.38647,null_class,null_class
244,0,0.49878,0.78906,-0.39111,null_class,null_class
245,0,0.48779,0.77686,-0.39331,null_class,null_class
246,0,0.49658,0.78687,-0.41748,null_class,null_class
247,0,0.51563,0.7583,-0.4104,null_class,null_class
248,0,0.51318,0.76245,-0.38647,null_class,null_class
249,0,0.50977,0.75195,-0.4126,null_class,null_class
250,0,0.52661,0.80566,-0.43213,null_class,null_class
251,0,0.46216,0.71094,-0.49097,null_class,null_class
252,0,0.67139,0.5874,-0.19824,null_class,null_class
253,0,0.6377,0.94922,-0.22974,null_class,null_class
254,0,0.33325,0.80542,-0.60376,null_class,null_class
255,0,0.23779,0.05103,-0.8186,null_class,null_class
256,0,0.04175,0.09229,-1.00146,null_class,null_class
257,0,0.01807,0.80493,-0.99878,null_class,null_class
258,0,0.14233,0.87305,-0.93994,null_class,null_class
259,0,0.2876,0.5752,-0.89111,null_class,null_class
260,0,0.42798,0.34131,-0.88599,null_class,null_class
261,0,0.46533,0.40137,-0.77515,null_class,null_class
262,0,0.4939,0.4126,-0.75293,null_class,null_class
263,0,0.52075,0.29468,-0.77246,null_class,null_class
264,0,0.45093,0.40894,-0.9082,null_class,null_class
265,0,0.44824,0.37256,-0.91724,null_class,null_class
266,0,0.4519,0.29614,-0.76343,null_class,null_class
