,0,1,2,3
null,0.5148514851485149,0.4936708860759494,0.8048780487804879,0.8715890850722311
floor_0,0.046511627906976744,0.057692307692307696,0.05970149253731343,0.20833333333333334
floor_1,0.13333333333333333,0.019230769230769232,0.18181818181818182,0.12658227848101267
floor_2,0.10126582278481013,0.05357142857142857,0.02040816326530612,0.14864864864864866
floor_3,0.02127659574468085,0.12903225806451613,0.041666666666666664,0.07575757575757576
floor_4,0.058823529411764705,0.021739130434782608,0.044444444444444446,0.05
