,0,1,2,3
null,0.494949494949495,0.6351351351351351,0.5762081784386617,0.8071216617210683
floor_0,0.0,0.23529411764705882,0.1,0.06060606060606061
floor_1,0.1875,0.17857142857142858,0.08791208791208792,0.08333333333333333
floor_2,0.19148936170212766,0.06896551724137931,0.0,0.0625
floor_3,0.20754716981132076,0.16901408450704225,0.0,0.0
floor_4,0.061224489795918366,0.3950617283950617,0.020833333333333332,0.09615384615384616
